ent ID,IRI,Label,OWL Type,Source Ontology,Current IRI (to deprecate),Status,BFO/CCO Parent IRI,Definition (brief),Migration Target,Date Added,Notes,PURL to Register,Old PURL to Update,PURL Action,"PURL Target URL
(where ent IRI redirects to)"
ent00000011,https://w3id.org/cco-domains/domains/AddressOntology#ent00000011,Street Address,owl:Class,AddressOntology,https://purl.org/cco/postal-address/StreetAddress,Active,cco:ent00000312,A component of a Postal Address designating the street-level location.,,2026-06-15 00:00:00,,https://purl.org/cco/ent00000011,purl.org/cco/postal-address/StreetAddress,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PostalAddressOntology.ttl
ent00000012,https://w3id.org/cco-domains/domains/AddressOntology#ent00000012,City,owl:Class,AddressOntology,https://purl.org/cco/postal-address/CityName,Active,cco:ent00000312,A Proper Name that designates a city within a Postal Address.,,2026-06-15 00:00:00,,https://purl.org/cco/ent00000012,purl.org/cco/postal-address/CityName,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PostalAddressOntology.ttl
ent00000013,https://w3id.org/cco-domains/domains/AddressOntology#ent00000013,State,owl:Class,AddressOntology,https://purl.org/cco/postal-address/StateName,Active,cco:ent00000312,A Proper Name that designates a state or province within a Postal Address.,,2026-06-15 00:00:00,,https://purl.org/cco/ent00000013,purl.org/cco/postal-address/StateName,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PostalAddressOntology.ttl
ent00000014,https://w3id.org/cco-domains/domains/AddressOntology#ent00000014,Country Name,owl:Class,AddressOntology,https://purl.org/cco/postal-address/CountryName,Active,cco:ent00000312,A Proper Name that designates a country within a Postal Address.,,2026-07-06 00:00:00,,https://purl.org/cco/ent00000014,purl.org/cco/postal-address/CountryName,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PostalAddressOntology.ttl
ent00000015,https://w3id.org/cco-domains/domains/AddressOntology#ent00000015,Postal Code,owl:Class,AddressOntology,https://purl.org/cco/postal-address/PostalCode,Active,cco:ent00000312,A Code Identifier designating a postal delivery zone.,,2026-06-15 00:00:00,,https://purl.org/cco/ent00000015,purl.org/cco/postal-address/PostalCode,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PostalAddressOntology.ttl
ent00000016,https://w3id.org/cco-domains/domains/AddressOntology#ent00000016,Address Designation,owl:Class,AddressOntology,https://purl.org/cco/postal-address/AddressDesignation,Active,http://purl.obolibrary.org/obo/BFO_0000015,A Process in which a Person is associated with a Postal Address during a temporal interval.,,2026-07-07 00:00:00,Temporal address tracking; BFO Process subclass; Re-added to AddressOntology 2026-07-08 (version 2026-07-08); committed to Main 2026-07-09,https://purl.org/cco/ent00000016,purl.org/cco/postal-address/AddressDesignation,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PostalAddressOntology.ttl
ent00000017,https://w3id.org/cco-domains/domains/StagingOntology#ent00000017,has start date,owl:DatatypeProperty,StagingOntology,https://purl.org/cco/postal-address/hasStartDate,Active,,Relates an Address Designation to the date on which it began.,,2026-07-09 00:00:00,"range: xsd:date; Relocated from AddressOntology to StagingOntology 2026-07-09 (generic temporal property, not address-specific); IRI unchanged",https://purl.org/cco/ent00000017,purl.org/cco/postal-address/hasStartDate,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PostalAddressOntology.ttl
ent00000018,https://w3id.org/cco-domains/domains/StagingOntology#ent00000018,has end date,owl:DatatypeProperty,StagingOntology,https://purl.org/cco/postal-address/hasEndDate,Active,,Relates an Address Designation to the date on which it ended; absent if current address.,,2026-07-09 00:00:00,"range: xsd:date; optional — absence = current; Relocated from AddressOntology to StagingOntology 2026-07-09 (generic temporal property, not address-specific); IRI unchanged",https://purl.org/cco/ent00000018,purl.org/cco/postal-address/hasEndDate,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PostalAddressOntology.ttl
ent00000019,https://w3id.org/cco-domains/domains/StagingOntology#ent00000019,migration target,owl:AnnotationProperty,StagingOntology,https://purl.org/cco/staging/migrationTarget,Infrastructure,,Indicates the target ontology where this term should eventually be migrated.,,2026-02-22,Staging infrastructure — not a domain term,https://purl.org/cco/ent00000019,purl.org/cco/staging/migrationTarget,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000020,https://w3id.org/cco-domains/domains/StagingOntology#ent00000020,staging reason,owl:AnnotationProperty,StagingOntology,https://purl.org/cco/staging/stagingReason,Infrastructure,,Explains why this term is in staging rather than an approved domain ontology.,,2026-02-22,Staging infrastructure,https://purl.org/cco/ent00000020,purl.org/cco/staging/stagingReason,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000021,https://w3id.org/cco-domains/domains/StagingOntology#ent00000021,staging date,owl:AnnotationProperty,StagingOntology,https://purl.org/cco/staging/stagingDate,Retired,,Date when term was added to staging ontology.,,2026-02-22,Staging infrastructure | Property retired 2026-08-04 per DL-015 (superseded by dcterms:created); declaration removed from StagingOntology.ttl.,https://purl.org/cco/ent00000021,purl.org/cco/staging/stagingDate,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000022,https://w3id.org/cco-domains/domains/StagingOntology#ent00000022,proposal status,owl:AnnotationProperty,StagingOntology,https://purl.org/cco/staging/proposalStatus,Infrastructure,,Current status of proposal to migrate this term to permanent home.,,2026-02-22,Staging infrastructure,https://purl.org/cco/ent00000022,purl.org/cco/staging/proposalStatus,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000023,https://w3id.org/cco-domains/domains/StagingOntology#ent00000023,Telephone Number,owl:Class,StagingOntology,https://purl.org/cco/staging/TelephoneNumber,Proposed,https://purl.org/cco/ont00000077,A Code Identifier representing numeric sequence designating a telecommunications endpoint (E.164).,CyberOntology (P3195.1.1),2026-02-18,,https://purl.org/cco/ent00000023,purl.org/cco/staging/TelephoneNumber,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000024,https://w3id.org/cco-domains/domains/StagingOntology#ent00000024,Email Address,owl:Class,StagingOntology,https://purl.org/cco/staging/EmailAddress,Proposed,https://purl.org/cco/ont00000077,"A Code Identifier designating an electronic mailbox, formatted per RFC 5322.",CyberOntology (P3195.1.1),2026-02-19,,https://purl.org/cco/ent00000024,purl.org/cco/staging/EmailAddress,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000025,https://w3id.org/cco-domains/domains/StagingOntology#ent00000025,Digital File,owl:Class,StagingOntology,https://purl.org/cco/staging/DigitalFile,Bridge,https://purl.org/cco/ont00000798,An Information Bearing Artifact consisting of a 1D array of bytes on a Digital Storage Device.,CyberOntology CCO 2.0 (pending),2026-03-16,exactMatch: CyberOntology v1.5 DigitalFile,https://purl.org/cco/ent00000025,purl.org/cco/staging/DigitalFile,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000026,https://w3id.org/cco-domains/domains/StagingOntology#ent00000026,User Account,owl:Class,StagingOntology,https://purl.org/cco/staging/UserAccount,Bridge,https://purl.org/cco/ent00000025,"A Digital File that stores information about an individual's username, password, and access permissions.",CyberOntology CCO 2.0 (pending),2026-03-16,exactMatch: CyberOntology v1.5 UserAccount,https://purl.org/cco/ent00000026,purl.org/cco/staging/UserAccount,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000027,https://w3id.org/cco-domains/domains/StagingOntology#ent00000027,Standard User Account,owl:Class,StagingOntology,https://purl.org/cco/staging/StandardUserAccount,Bridge,https://purl.org/cco/ent00000026,"A User Account that is not permitted to create, edit, view, or delete system files.",CyberOntology CCO 2.0 (pending),2026-03-16,exactMatch: CyberOntology v1.5 StandardUserAccount,https://purl.org/cco/ent00000027,purl.org/cco/staging/StandardUserAccount,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000028,https://w3id.org/cco-domains/domains/StagingOntology#ent00000028,Service Account,owl:Class,StagingOntology,https://purl.org/cco/staging/ServiceAccount,Bridge,https://purl.org/cco/ent00000026,A User Account used to run applications and other processes.,CyberOntology CCO 2.0 (pending),2026-03-16,exactMatch: CyberOntology v1.5 ServiceAccount,https://purl.org/cco/ent00000028,purl.org/cco/staging/ServiceAccount,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000029,https://w3id.org/cco-domains/domains/StagingOntology#ent00000029,System Account,owl:Class,StagingOntology,https://purl.org/cco/staging/SystemAccount,Bridge,https://purl.org/cco/ent00000026,A User Account created by an OS during installation for OS-defined purposes.,CyberOntology CCO 2.0 (pending),2026-03-16,exactMatch: CyberOntology v1.5 SystemAccount,https://purl.org/cco/ent00000029,purl.org/cco/staging/SystemAccount,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000030,https://w3id.org/cco-domains/domains/StagingOntology#ent00000030,Superuser Account,owl:Class,StagingOntology,https://purl.org/cco/staging/SuperuserAccount,Bridge,https://purl.org/cco/ent00000026,A User Account with all permissions to all files and programs.,CyberOntology CCO 2.0 (pending),2026-03-16,exactMatch: CyberOntology v1.5 SuperuserAccount,https://purl.org/cco/ent00000030,purl.org/cco/staging/SuperuserAccount,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000031,https://w3id.org/cco-domains/domains/StagingOntology#ent00000031,User Identifier,owl:Class,StagingOntology,https://purl.org/cco/staging/UserIdentifier,Bridge,https://purl.org/cco/ont00000077,A Code Identifier identifying the account of a registered user of a computer system.,CyberOntology CCO 2.0 (pending),2026-03-16,exactMatch: CyberOntology v1.5 UserIdentifier; altLabel: UID,https://purl.org/cco/ent00000031,purl.org/cco/staging/UserIdentifier,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000032,https://w3id.org/cco-domains/domains/StagingOntology#ent00000032,User Group Identifier,owl:Class,StagingOntology,https://purl.org/cco/staging/UserGroupIdentifier,Bridge,https://purl.org/cco/ont00000077,A Code Identifier identifying a group of registered users for access management.,CyberOntology CCO 2.0 (pending),2026-03-16,exactMatch: CyberOntology v1.5 UserGroupIdentifier; altLabel: GID,https://purl.org/cco/ent00000032,purl.org/cco/staging/UserGroupIdentifier,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000033,https://w3id.org/cco-domains/domains/StagingOntology#ent00000033,Online Service Account,owl:Class,StagingOntology,https://purl.org/cco/staging/OnlineServiceAccount,Proposed,https://purl.org/cco/ent00000026,"A User Account at a named online service provider, characterized by service name, user handle, and URI (RFC 9553).",CyberOntology (P3195.1.1) 2026-Q3,2026-03-16,RFC 9553 JSContact §2.6.3,https://purl.org/cco/ent00000033,purl.org/cco/staging/OnlineServiceAccount,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000034,https://w3id.org/cco-domains/domains/StagingOntology#ent00000034,has service name,owl:DatatypeProperty,StagingOntology,https://purl.org/cco/staging/hasServiceName,Proposed,,The name of the online service provider at which the account is held.,CyberOntology (P3195.1.1) 2026-Q3,2026-03-16,range: xsd:string; RFC 9553,https://purl.org/cco/ent00000034,purl.org/cco/staging/hasServiceName,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000035,https://w3id.org/cco-domains/domains/StagingOntology#ent00000035,has user handle,owl:DatatypeProperty,StagingOntology,https://purl.org/cco/staging/hasUserHandle,Proposed,,The username or handle by which the account holder is identified at the service provider.,CyberOntology (P3195.1.1) 2026-Q3,2026-03-16,range: xsd:string; RFC 9553,https://purl.org/cco/ent00000035,purl.org/cco/staging/hasUserHandle,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000036,https://w3id.org/cco-domains/domains/StagingOntology#ent00000036,has service URI,owl:DatatypeProperty,StagingOntology,https://purl.org/cco/staging/hasServiceURI,Proposed,,The URI that locates the account or profile at the service provider.,CyberOntology (P3195.1.1) 2026-Q3,2026-03-16,range: xsd:anyURI; RFC 9553,https://purl.org/cco/ent00000036,purl.org/cco/staging/hasServiceURI,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000037,https://w3id.org/cco-domains/domains/PersonOntology#ent00000037,Eye Color,owl:Class,PersonOntology,,Active,https://purl.org/cco/ont00000378  # Color (was ont00001835 'is son of' — ERROR corrected),Quality inhering in a person's eyes manifested as a perceived color.,PersonOntology,2026-07-11 00:00:00,Mint now; currently in persona.ttl; Promoted to PersonOntology 2026-07-11 (committed to Main); Option B: closeMatch (not exactMatch) to CCO colors,https://purl.org/cco/ent00000037,—,"Register now → persona.ttl
Update → PersonOntology.ttl when promoted",https://raw.githubusercontent.com/MeeFoundation/persona-ontology/main/persona.ttl
ent00000038,https://w3id.org/cco-domains/domains/PersonOntology#ent00000038,has Eye Color,owl:ObjectProperty,PersonOntology,,Active,http://purl.obolibrary.org/obo/BFO_0000196,Relates a Person to their Eye Color.,PersonOntology,2026-07-11 00:00:00,Property linking Person → EyeColor; Promoted to PersonOntology 2026-07-11 (committed to Main); Option B: closeMatch (not exactMatch) to CCO colors,https://purl.org/cco/ent00000038,—,"Register now → persona.ttl
Update → PersonOntology.ttl when promoted",https://raw.githubusercontent.com/MeeFoundation/persona-ontology/main/persona.ttl
ent00000039,https://w3id.org/cco-domains/domains/PersonOntology#ent00000039,Amber Eye Color,owl:Class,PersonOntology,,Active,https://purl.org/cco/ent00000037,Eye Color: golden/copper. No CCO equivalent — new term required.,PersonOntology,2026-07-11 00:00:00,No CCO color match for amber; Promoted to PersonOntology 2026-07-11 (committed to Main); Option B: closeMatch (not exactMatch) to CCO colors,https://purl.org/cco/ent00000039,—,"Register now → persona.ttl
Update → PersonOntology.ttl when promoted",https://raw.githubusercontent.com/MeeFoundation/persona-ontology/main/persona.ttl
ent00000040,https://w3id.org/cco-domains/domains/PersonOntology#ent00000040,Blue Eye Color,owl:Class,PersonOntology,,Active,https://purl.org/cco/ent00000037,Eye Color: blue. skos:exactMatch CCO Blue (ont00001189).,PersonOntology,2026-07-11 00:00:00,skos:exactMatch cco:ont00001189; Promoted to PersonOntology 2026-07-11 (committed to Main); Option B: closeMatch (not exactMatch) to CCO colors,https://purl.org/cco/ent00000040,—,"Register now → persona.ttl
Update → PersonOntology.ttl when promoted",https://raw.githubusercontent.com/MeeFoundation/persona-ontology/main/persona.ttl
ent00000041,https://w3id.org/cco-domains/domains/PersonOntology#ent00000041,Brown Eye Color,owl:Class,PersonOntology,,Active,https://purl.org/cco/ent00000037,Eye Color: brown. skos:exactMatch CCO Brown (ont00000872).,PersonOntology,2026-07-11 00:00:00,skos:exactMatch cco:ont00000872; Promoted to PersonOntology 2026-07-11 (committed to Main); Option B: closeMatch (not exactMatch) to CCO colors,https://purl.org/cco/ent00000041,—,"Register now → persona.ttl
Update → PersonOntology.ttl when promoted",https://raw.githubusercontent.com/MeeFoundation/persona-ontology/main/persona.ttl
ent00000042,https://w3id.org/cco-domains/domains/PersonOntology#ent00000042,Grey Eye Color,owl:Class,PersonOntology,,Active,https://purl.org/cco/ent00000037,Eye Color: gray. skos:exactMatch CCO Grey (ont00001349).,PersonOntology,2026-07-11 00:00:00,skos:exactMatch cco:ont00001349; Promoted to PersonOntology 2026-07-11 (committed to Main); Option B: closeMatch (not exactMatch) to CCO colors,https://purl.org/cco/ent00000042,—,"Register now → persona.ttl
Update → PersonOntology.ttl when promoted",https://raw.githubusercontent.com/MeeFoundation/persona-ontology/main/persona.ttl
ent00000043,https://w3id.org/cco-domains/domains/PersonOntology#ent00000043,Green Eye Color,owl:Class,PersonOntology,,Active,https://purl.org/cco/ent00000037,Eye Color: green. skos:exactMatch CCO Green (ont00000082).,PersonOntology,2026-07-11 00:00:00,skos:exactMatch cco:ont00000082; Promoted to PersonOntology 2026-07-11 (committed to Main); Option B: closeMatch (not exactMatch) to CCO colors,https://purl.org/cco/ent00000043,—,"Register now → persona.ttl
Update → PersonOntology.ttl when promoted",https://raw.githubusercontent.com/MeeFoundation/persona-ontology/main/persona.ttl
ent00000044,https://w3id.org/cco-domains/domains/PersonOntology#ent00000044,Hazel Eye Color,owl:Class,PersonOntology,,Active,https://purl.org/cco/ent00000037,Eye Color: brown+green. skos:exactMatch CCO Hazel (ont00000797).,PersonOntology,2026-07-11 00:00:00,skos:exactMatch cco:ont00000797; Promoted to PersonOntology 2026-07-11 (committed to Main); Option B: closeMatch (not exactMatch) to CCO colors,https://purl.org/cco/ent00000044,—,"Register now → persona.ttl
Update → PersonOntology.ttl when promoted",https://raw.githubusercontent.com/MeeFoundation/persona-ontology/main/persona.ttl
ent00000045,https://w3id.org/cco-domains/domains/StagingOntology#ent00000045,holds user account,owl:ObjectProperty,StagingOntology,,Proposed,https://purl.org/cco/ont00001017  # Agent,Relates an Agent to a User Account that the Agent holds.,CyberOntology (P3195.1.1) 2026-Q3,2026-03-17,Domain broadened to Agent (not Person) to support orgs,https://purl.org/cco/ent00000045,—,Register new ent PURL → ontology file,https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000046,https://w3id.org/cco-domains/domains/PersonOntology#ent00000046,Birthdate,owl:Class,PersonOntology,,Active,https://purl.org/cco/ont00001340  # Calendar Date Identifier,A Calendar Date Identifier that designates the date on which a Person was born.,PersonOntology,2026-04-14 00:00:00,RFC 9553 §2.8.1; corrects Claude Code's wrong parent (Quality),https://purl.org/cco/ent00000046,—,Register new ent PURL → ontology file,https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PersonOntology.ttl
ent00000047,https://w3id.org/cco-domains/domains/StagingOntology#ent00000047,Organization Name,owl:Class,StagingOntology,,Active,https://purl.org/cco/ont00000003  # Designative Name,A Designative Name that designates an Organization a Person is affiliated with.,Future Organization Ontology,2026-03-17,RFC 9553 §2.2.2; Placed in StagingOntology 2026-07-09 per Mee alignment; migration target undecided,https://purl.org/cco/ent00000047,—,Register new ent PURL → ontology file,https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PersonOntology.ttl
ent00000048,https://w3id.org/cco-domains/domains/StagingOntology#ent00000048,Person Note,owl:Class,StagingOntology,,Removed,https://purl.org/cco/ont00000853  # Descriptive ICE,A Descriptive ICE consisting of free-form text describing some aspect of a Person.,—,2026-03-17,RFC 9553 §2.8.3; corrects Claude Code's wrong parent (Desig. Name); Removed 2026-07-09: no consumer; generic Descriptive ICE (ont00000853) sufficient,https://purl.org/cco/ent00000048,—,Register new ent PURL → ontology file,https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000049,https://w3id.org/cco-domains/domains/StagingOntology#ent00000049,Payment Card,owl:Class,StagingOntology,,Proposed,https://purl.org/cco/ont00000938  # Financial Artifact Function,A Financial Artifact Function used to authorize payment transactions.,Financial Domain Ontology 2026-Q4,2026-03-17,New superclass for CreditCard and DebitCard,https://purl.org/cco/ent00000049,—,Register new ent PURL → ontology file,https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000050,https://w3id.org/cco-domains/domains/StagingOntology#ent00000050,Credit Card,owl:Class,StagingOntology,,Proposed,https://purl.org/cco/ent00000049  # Payment Card,A Payment Card for purchasing on short-term credit.,Financial Domain Ontology 2026-Q4,2026-03-17,Migrated from Orphan; parent fixed to PaymentCard,https://purl.org/cco/ent00000050,—,Register new ent PURL → ontology file,https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000051,https://w3id.org/cco-domains/domains/StagingOntology#ent00000051,Debit Card,owl:Class,StagingOntology,,Proposed,https://purl.org/cco/ent00000049  # Payment Card,A Payment Card drawing on funds in a linked bank account.,Financial Domain Ontology 2026-Q4,2026-03-17,Migrated from Orphan; parent fixed from BankAccount to PaymentCard,https://purl.org/cco/ent00000051,—,Register new ent PURL → ontology file,https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
ent00000052,https://w3id.org/cco-domains/domains/StagingOntology#ent00000052,Credit Card Number,owl:Class,StagingOntology,,Proposed,https://purl.org/cco/ont00000077  # Code Identifier,A Code Identifier designating a payment card account (ISO/IEC 7812).,Financial Domain Ontology 2026-Q4,2026-03-17,"altLabel: PAN, Primary Account Number",https://purl.org/cco/ent00000052,—,Register new ent PURL → ontology file,https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/StagingOntology.ttl
